no,year,date,level,traffic,flow_rate,water_temperature,number
1,2014年, 06-12,164.48,11000,2.035,22.59,0
2,2014年, 06-13,163.86,9980,2.023,22.67,26
3,2014年, 06-14,163.87,10000,2.023,22.49,7
4,2014年, 06-15,163.85,9950,2.023,22.24,398
5,2014年, 06-16,164.48,11100,2.033,21.88,9
6,2014年, 06-17,163.8,9860,2.022,21.88,2
7,2014年, 06-18,163.72,9740,2.02,22.49,6
8,2014年, 06-19,163.49,9360,2.016,21.65,3
9,2014年, 06-20,163.5,9360,2.016,21.07,0
10,2014年, 06-21,164.71,11500,2.037,20.71,1
11,2014年, 06-22,165.66,13100,2.054,21.07,2
12,2014年, 06-23,165.11,12200,2.043,21.07,3
13,2014年, 06-24,164.1,10400,2.027,19.37,1
14,2014年, 06-25,163.8,9850,2.022,18.3,28
15,2014年, 06-26,165.38,12600,2.049,19.37,18
16,2014年, 06-27,166.64,14800,2.071,21.38,41
17,2014年, 06-28,165.9,13500,2.059,22.73,52
18,2014年, 06-29,165.83,13400,2.057,22.82,3
19,2014年, 06-30,166.61,14800,2.069,22.38,1
20,2014年, 07-01,166.61,14800,2.069,20.31,0
21,2014年, 07-02,168.53,18600,2.093,19.86,2
22,2014年, 07-03,168.54,18600,2.093,20.71,1
23,2014年, 07-04,169.14,19800,2.1,20.71,0
24,2014年, 07-05,168.91,19300,2.098,19.86,1
25,2014年, 07-06,169.07,19700,2.098,19.86,1
26,2014年, 07-07,169.52,20600,2.104,20.31,1
27,2014年, 07-08,169.33,20200,2.102,21.38,1
28,2014年, 07-09,169.45,20500,2.102,22.08,0
29,2014年, 07-10,169.1,19900,2.096,22.24,0
30,2014年, 07-11,170.28,23600,2.08,20.71,0
31,2014年, 07-12,172.84,28400,2.117,20.71,1
32,2015年, 06-12,163.14,9000,1.746,22.08,5
33,2015年, 06-13,162.88,8570,1.399,21.38,22
34,2015年, 06-14,163.46,9540,1.251,21.07,3
35,2015年, 06-15,163.4,9450,1.169,18.85,0
36,2015年, 06-16,163.27,9220,1.02,20.31,8
37,2015年, 06-17,163.17,9060,1.119,20.31,128
38,2015年, 06-18,162.78,8420,1.119,19.86,4
39,2015年, 06-19,163.18,9080,1.647,20.31,2
40,2015年, 06-20,163.14,9010,2.07,21.65,425
41,2015年, 06-21,163.16,9040,2.4,22.73,2
42,2015年, 06-22,163.09,8930,2.6,22.67,1
43,2015年, 06-23,163.24,9180,2.19,22.38,3
44,2015年, 06-24,163.9,10400,2.19,18.85,2
45,2015年, 06-25,166.0,14800,1.86,21.38,25
